Module,Path,baseline,node22,node20,node18,bun,deno,workerd,wranglerUnenv
,,,22.14.0,4.5.1,1.2.0,2.2.8,d3cd504
*globals*,Set,supported,supported,supported,supported,supported,supported
*globals*,SharedArrayBuffer,supported,supported,supported,supported,supported,supported
*globals*,String,supported,supported,supported,supported,supported,supported
*globals*,SubtleCrypto,supported,supported,supported,supported,supported,unsupported
*globals*,Symbol,supported,supported,supported,supported,supported,supported
*globals*,SyntaxError,supported,supported,supported,supported,supported,supported
*globals*,TextDecoder,supported,supported,supported,supported,supported,supported
*globals*,TextDecoderStream,supported,supported,supported,supported,supported,supported
*globals*,TextEncoder,supported,supported,supported,supported,supported,supported
*globals*,TextEncoderStream,supported,supported,supported,supported,supported,supported
*globals*,TransformStream,supported,supported,supported,supported,supported,supported
*globals*,TransformStreamDefaultController,supported,supported,supported,supported,supported,supported
*globals*,TypeError,supported,supported,supported,supported,supported,supported
*globals*,URIError,supported,supported,supported,supported,supported,supported
*globals*,URL,supported,supported,supported,supported,supported,supported
*globals*,URLSearchParams,supported,supported,supported,supported,supported,unsupported
*globals*,Uint16Array,supported,supported,supported,supported,supported,supported
*globals*,Uint32Array,supported,supported,supported,supported,supported,supported
*globals*,Uint8Array,supported,supported,supported,supported,supported,supported
*globals*,Uint8ClampedArray,supported,supported,supported,supported,supported,supported
*globals*,WeakMap,supported,supported,supported,supported,supported,supported
*globals*,WeakRef,supported,supported,unsupported,supported,supported,supported
*globals*,WeakSet,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.*self*,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.CompileError,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Exception,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Global,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Instance,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.JSTag.*self*,supported,supported,supported,unsupported,supported,supported
*globals*,WebAssembly.LinkError,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Memory,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Module,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.RuntimeError,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Table,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Tag,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.compile,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.compileStreaming,supported,supported,unsupported,unsupported,supported,supported
*globals*,WebAssembly.instantiate,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.instantiateStreaming,supported,supported,unsupported,unsupported,supported,supported
*globals*,WebAssembly.validate,supported,supported,supported,supported,supported,supported
*globals*,WebSocket,supported,supported,supported,supported,supported,unsupported
*globals*,WritableStream,supported,supported,supported,supported,supported,supported
*globals*,WritableStreamDefaultController,supported,supported,supported,supported,supported,supported
*globals*,WritableStreamDefaultWriter,supported,supported,supported,supported,supported,supported
*globals*,atob,supported,supported,supported,supported,supported,supported
*globals*,btoa,supported,supported,supported,supported,supported,supported
*globals*,clearImmediate,supported,supported,supported,supported,unsupported,unsupported
*globals*,clearInterval,supported,supported,supported,supported,supported,supported
*globals*,clearTimeout,supported,supported,supported,supported,supported,supported
*globals*,console.*self*,supported,supported,supported,supported,supported,supported
*globals*,console.Console,supported,supported,supported,supported,supported,unsupported
*globals*,console._ignoreErrors,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,console._stderr.*self*,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr._bytesDispatched,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._closeAfterHandlingError,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._connecting,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._destroy,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr._events,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr._eventsCount,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr._final,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._getpeername,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._getsockname,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._hadError,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._handle,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._host,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._isStdio,supported,supported,unsupported,supported,supported,unsupported
*globals*,console._stderr._maxListeners,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr._onTimeout,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._parent,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._pendingData,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._pendingEncoding,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._read,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._readableState,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._reset,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._server,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._sockname,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._type,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,console._stderr._undestroy,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr._unrefTimer,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._writableState,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr._write,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr._writeGeneric,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._writev,supported,supported,mismatch,mismatch,mismatch,unsupported
*globals*,console._stderr.addListener,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.address,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.allowHalfOpen,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.asIndexedPairs,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.bufferSize,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.bytesRead,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.bytesWritten,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,console._stderr.closed,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.compose,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.connect,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.connecting,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.cork,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.destroy,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.destroySoon,supported,supported,unsupported,supported,supported,unsupported
*globals*,console._stderr.destroyed,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.drop,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.emit,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.end,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.errored,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.eventNames,supported,supported,supported,supported,supported,unsupported
*globals*,console._stderr.every,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.fd,supported,supported,unsupported,supported,supported,unsupported
*globals*,console._stderr.filter,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.find,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.flatMap,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.forEach,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.getMaxListeners,supported,supported,supported,supported,supported,unsupported
